id;nome;numero_habitantes;distancia_capital;ano_emancipacao
1;Fortaleza;2428678;0.0;1726
2;Caucaia;355679;15.8;1759
3;Juazeiro do Norte;286120;528.0;1911
4;Maracanaú;234392;24.6;1983
5;Sobral;203023;238.0;1773
6;Itapipoca;131123;130.0;1823
7;Crato;131050;504.0;1817
8;Maranguape;105093;30.0;1851
9;Iguatu;98064;377.0;1874
10;Quixadá;84165;167.0;1870
11;Quixeramobim;82122;203.0;1787
12;Tianguá;81506;310.0;1889
13;Pacatuba;81238;28.0;1938
14;Aquiraz;80243;32.3;1699
15;Crateús;76390;354.0;1832
16;Aracati;75112;148.3;1747
17;Barbalha;75033;510.0;1842
18;Horizonte;74754;40.1;1989
19;Canindé;74174;120.0;1846
20;Eusébio;74170;25.9;1987
21;Russas;72928;165.0;1801
22;Cascavel;72626;80.3;1889
23;Pacajus;70534;49.1;1938
24;Acaraú;64806;255.0;1849
25;Itaitinga;64648;27.1;1989
26;Icó;62622;375.0;1738
27;Camocim;62326;379.9;1879
28;Tauá;61223;337.0;1802
29;Morada Nova;61221;161.0;1877
30;Viçosa do Ceará;59712;348.0;1882
31;Limoeiro do Norte;59560;194.0;1890
32;Trairi;58415;137.3;1951
33;São Gonçalo do Amarante;54021;61.1;1868
34;Granja;53344;352.0;1811
35;Beberibe;53114;89.3;1892
36;Brejo Santo;51090;510.0;1890
37;Boa Viagem;50411;217.0;1890
38;São Benedito;47640;360.0;1882
39;Itapajé;46426;125.0;1883
40;Mauriti;45561;500.0;1890
41;Acopiara;44962;345.0;1943
42;Itarema;42726;248.7;1957
43;Amontada;42156;233.0;1957
44;Guaraciaba do Norte;42053;360.0;1882
45;Ipu;41081;294.0;1889
46;Pedra Branca;40187;261.0;1870
47;Santa Quitéria;40183;222.0;1856
48;Várzea Alegre;38984;445.0;1870
49;Paracuru;38691;89.9;1951
50;Pentecoste;37813;88.0;1851
